"gene","logFC","logCPM","F","PValue","FDR","significance"
"SFTA2",5.94830873530544,3.03881600441999,89.2636123679483,2.19686895122796e-06,0.000156329194569381,"Up in tumor"
"CHPF",2.17527844988349,5.07268895338758,59.1695518629583,2.28018630934884e-06,0.000161336136990461,"Up in tumor"
"BMP7",6.03534984849566,3.32666641959413,60.6967485810111,2.31514746049536e-06,0.00016287059041145,"Up in tumor"
"PDK4",-2.71105619525626,4.97580241766497,63.8082466789464,2.33589405088224e-06,0.00016287059041145,"Down in tumor"
"TIMP1",3.15232237568066,7.82252217982021,63.3966788094967,2.34110942613423e-06,0.00016287059041145,"Up in tumor"
"PARP14",1.85227345886762,4.3106311055112,60.1319211962714,2.37779658483535e-06,0.000163435880238186,"Up in tumor"
"OAS2",5.73405960996731,2.87363517259509,73.4852786747228,2.38577300336262e-06,0.000163435880238186,"Up in tumor"
"DTD1",1.93996893164472,5.80121667766495,62.5514709717339,2.39098744827721e-06,0.000163435880238186,"Up in tumor"
"PSMD7",1.23960830673249,6.82251068412862,63.48506950932,2.40173179824845e-06,0.000163435880238186,"Up in tumor"
"CDC25B",2.35204738542694,4.82187346915423,54.9127102683526,2.51168638558426e-06,0.000169989296520004,"Up in tumor"
"METTL7A",-3.90292984437657,4.35717301843193,62.9250432598257,2.55103819832265e-06,0.000170524630744511,"Down in tumor"
"BEST2",-4.69527767937138,0.898154442885517,49.3156339126181,2.55693319737148e-06,0.000170524630744511,"Down in tumor"
"MALSU1",1.55641066041851,5.63643417641993,61.8627121350087,2.5606766200292e-06,0.000170524630744511,"Up in tumor"
"VSNL1",2.62767120273456,4.48825658838981,55.3802010567372,2.57723378658969e-06,0.000170714320980859,"Up in tumor"
"SNHG19",-1.50201505342506,5.33669943119983,62.5052803336105,2.60543083566025e-06,0.000171668942838503,"Down in tumor"
"ZNF814",-2.4455931584397,1.96924655360452,56.352122394351,2.68997438865155e-06,0.000176306584536199,"Down in tumor"
"EPB41L3",-3.94413456070374,0.998890148444477,54.4287873840667,2.80844275806786e-06,0.000182387422776954,"Down in tumor"
"AC013461.1",2.12263267185574,5.28591393076058,59.9948026883472,2.82611691349726e-06,0.000182387422776954,"Up in tumor"
"GNPDA1",2.46515361041525,4.07061221836074,53.9575675738994,2.82669016268787e-06,0.000182387422776954,"Up in tumor"
"ELFN1-AS1",4.29357404694847,3.71507817318919,43.4903702814634,2.91038270843256e-06,0.000186819566330467,"Up in tumor"
"MYADM",-1.65349504024061,6.75246339744358,60.4595540640154,3.11000143445899e-06,0.000198609476222142,"Down in tumor"
"CCDC85B",1.72715534624893,6.4535566177601,60.2839617952406,3.18631442167685e-06,0.000201946094445554,"Up in tumor"
"GRIN2B",4.54665595766498,2.71629892038406,45.9674038990855,3.19652679525936e-06,0.000201946094445554,"Up in tumor"
"ASPG",-5.3729386518405,0.723530934926594,45.889376846118,3.21089911669635e-06,0.000201946094445554,"Down in tumor"
"SAMD13",-2.79361691047139,3.31818366788813,59.0027543284713,3.2525290201196e-06,0.000203536401444972,"Down in tumor"
"RP11-54H7.4",3.27893338092539,3.59393354146775,48.3558332915284,3.32785144186118e-06,0.000206079381849664,"Up in tumor"
"S100A2",4.0033265458433,3.90350156578213,50.976005340708,3.34251371087748e-06,0.000206079381849664,"Up in tumor"
"IGHA2",-6.65714862840904,8.21147477241981,59.830199964151,3.35818999088366e-06,0.000206079381849664,"Down in tumor"
"BAG2",4.12959161506312,3.50450061223066,42.7718363587743,3.35936035617778e-06,0.000206079381849664,"Up in tumor"
"C6orf223",4.90298630675827,2.81083418989508,44.6792037455907,3.38175964163631e-06,0.000206436533418122,"Up in tumor"
"PTGER4",-2.06447792980293,4.51215510747713,59.345233481069,3.47512787290959e-06,0.000211101304396796,"Down in tumor"
"CNN2",1.40596521992179,5.57258325830638,58.6134299571228,3.6313456177933e-06,0.000219520130963009,"Up in tumor"
"REG3A",11.2642812697703,5.84706445895234,262.627007122327,3.72829973871065e-06,0.000224292350947651,"Up in tumor"
"IGHA1",-5.89376212101619,10.264966801084,58.1065460549769,3.84185735473112e-06,0.000228758627036713,"Down in tumor"
"SEMA4A",-3.04039723285729,2.93936701974923,58.2084690327684,3.85290818251881e-06,0.000228758627036713,"Down in tumor"
"AC021218.2",4.01482449886979,3.40581539759456,46.9059108506455,3.8576496970778e-06,0.000228758627036713,"Up in tumor"
"GUCA2A",-7.62067039322955,10.2393457404698,57.8773475251491,3.94180275647649e-06,0.000230481346336052,"Down in tumor"
"KLK10",11.5528857932227,4.82724875314012,257.269877772004,3.95967269573787e-06,0.000230481346336052,"Up in tumor"
"RBCK1",1.85971769015408,7.50675653878242,57.8703897649408,3.96336749318172e-06,0.000230481346336052,"Up in tumor"
"C16orf13",1.20039107218583,6.86470794328066,57.8325065904403,3.97311598036761e-06,0.000230481346336052,"Up in tumor"
"CDKN2B-AS1",-5.99317311179384,4.32820005146309,56.139393735383,3.97924110352936e-06,0.000230481346336052,"Down in tumor"
"PRDX1",1.14631613580152,8.76295924381471,57.6807593978605,3.9988931156045e-06,0.000230547296151032,"Up in tumor"
"LINC00152",2.37688415763442,5.24017718947407,52.0892769440292,4.0197206881232e-06,0.000230680100134554,"Up in tumor"
"AGT",5.64044474825189,2.93457628252686,63.3621587670298,4.20504982719179e-06,0.000240208649073483,"Up in tumor"
"NXPE4",-5.94536302585352,5.30374817093118,53.1959349285858,4.25808739766197e-06,0.000242127682023217,"Down in tumor"
"CCDC167",1.29961257221511,5.27304077634432,55.7614216899079,4.27808612008585e-06,0.00024215912024286,"Up in tumor"
"PADI2",-4.31829862334512,4.08899338645538,56.7045106185244,4.51466039776628e-06,0.000254393963499473,"Down in tumor"
"SLC22A23",-1.84499603356002,3.21352990007127,54.3829399280902,4.5968256978239e-06,0.000257141506585078,"Down in tumor"
"PSMB2",1.07132126047926,7.05519503441166,56.2156824913446,4.60471821797738e-06,0.000257141506585078,"Up in tumor"
"PDCD4",-1.9716286667623,6.26545657959059,56.1111501100708,4.6514822578719e-06,0.000258593341773566,"Down in tumor"
"SLC26A2",-3.15229119933495,5.53439007759666,54.9245460110859,4.75299570935274e-06,0.000263062469193643,"Down in tumor"
"ATG16L2",-2.6254905309522,3.26679778341388,55.8136612930593,4.85631140552199e-06,0.000267591353685687,"Down in tumor"
